{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 675100), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.152437628748004, 'Humidity': 25.728236820019838, 'Sampling Period': 0.10406400263309479, 'PM1': 9.57166576385498, 'PM2.5': 18.06475830078125, 'PM10': 18.450206756591797}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 811405), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.648889906157017, 'Sampling Period': 0.10408533364534378, 'PM1': 6.334666728973389, 'PM2.5': 15.682790756225586, 'PM10': 16.25691032409668}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 45, 947885), 'gpstime': '231245.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.709925993743802, 'Sampling Period': 0.10423466563224792, 'PM1': 8.469999313354492, 'PM2.5': 14.019308090209961, 'PM10': 14.165343284606934}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 92008), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.125734340428778, 'Humidity': 25.662623025864043, 'Sampling Period': 0.10632533580064774, 'PM1': 1.2080168724060059, 'PM2.5': 1.8288191556930542, 'PM10': 1.8446595668792725}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 267459), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.152437628748004, 'Humidity': 25.68093385214008, 'Sampling Period': 0.10596266388893127, 'PM1': 10.313308715820312, 'PM2.5': 16.014738082885742, 'PM10': 16.161706924438477}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 404238), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.152437628748004, 'Humidity': 25.664148928053713, 'Sampling Period': 0.10442666709423065, 'PM1': 25.228717803955078, 'PM2.5': 40.506019592285156, 'PM10': 40.904415130615234}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 540712), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.152437628748004, 'Humidity': 25.696192874036775, 'Sampling Period': 0.10425599664449692, 'PM1': 9.561441421508789, 'PM2.5': 15.825834274291992, 'PM10': 15.990686416625977}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 677022), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.168459601739528, 'Humidity': 25.696192874036775, 'Sampling Period': 0.10412800312042236, 'PM1': 8.751747131347656, 'PM2.5': 14.485650062561035, 'PM10': 14.636542320251465}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 813493), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.168459601739528, 'Humidity': 25.650415808346686, 'Sampling Period': 0.10406400263309479, 'PM1': 3.4777865409851074, 'PM2.5': 5.400385856628418, 'PM10': 5.449945449829102}
{'utc': datetime.datetime(2020, 4, 25, 23, 12, 46, 950128), 'gpstime': '231246.00', 'lat': '', 'lon': '', 'fix': '0', 'nsat': '00', 'HDOP': '99.99', 'alt': '', 'WGS84': '', 'lastDGPS': '', 'Temperature': 31.13908598458839, 'Humidity': 25.694666971847106, 'Sampling Period': 0.10446933656930923, 'PM1': 13.138235092163086, 'PM2.5': 21.387941360473633, 'PM10': 21.60399627685547}
